1:1	사무엘상 27:5-6
20:3	사무엘하 5:11, 사무엘하 15:16, 사무엘하 16:21-22
20:4	사무엘하 17:25, 사무엘하 19:13, 역대기상 2:17
20:6	사무엘상 26:6, 사무엘하 10:10, 사무엘하 23:18, 역대기상 18:12, 사무엘하 20:1, 사무엘하 15:12
20:7	사무엘하 8:16, 사무엘하 8:18, 사무엘하 15:18, 열왕기상 1:38
20:8	여호수아 18:21, 여호수아 18:25, 여호수아 21:8, 여호수아 21:17, 사무엘하 17:25, 사무엘하 19:13
20:10	사무엘하 3:27, 열왕기상 2:5
20:13	사무엘하 20:1
20:14	열왕기상 15:20, 열왕기하 15:29
20:19	출애굽기 19:5, 신명기 32:9
20:21	여호수아 17:14-15, 사사기 2:8-9, 사무엘하 20:1
20:22	전도서 9:14-15, 전도서 9:18
20:23	사무엘하 8:16, 사무엘하 19:13, 역대기상 12:27, 사무엘하 23:20, 역대기상 27:5, 사무엘하 8:18, 사무엘하 15:18, 열왕기상 1:38, 열왕기상 1:44
20:24	열왕기상 4:6, 열왕기상 12:18, 열왕기상 4:3
20:25	사무엘하 15:27, 사무엘하 17:15, 사무엘하 19:11, 열왕기상 4:4
