35:19	시편 69:4, 요한복음 15:24-25, 잠언 6:12-13
35:20	시편 31:13, 예레미야 11:19, 마태복음 26:4
35:22	시편 28:1, 시편 10:1, 시편 71:12
35:24	시편 26:1, 시편 96:13
35:25	시편 41:1-2
35:27	시편 84:11, 시편 149:4
35:28	시편 51:14, 시편 71:24
36:1	로마서 3:18
36:2	신명기 29:19-20
36:5	시편 103:11
36:6	시편 71:19, 로마서 11:33, 시편 145:9, 디모데 전서 4:10
36:7	미가 7:18, 룻기 2:12, 시편 17:8, 시편 91:4
36:8	시편 65:4, 시편 16:11
36:9	욥기 33:4, 예레미야 2:13, 사도행전 17:28, 요한 계시록 4:11, 시편 27:1, 시편 43:3, 야고보서 1:17, 베드로 전서 2:9
36:10	시편 103:17, 시편 7:10, 시편 97:11
36:12	시편 1:5
37:1	시편 73:3, 잠언 23:17
37:2	시편 73:12, 시편 73:19
37:3	이사야 1:17, 히브리서 13:16, 잠언 28:20
37:5	시편 55:22, 잠언 16:3, 마태복음 6:33, 빌립보서 4:6, 베드로 전서 5:6-7
37:7	시편 62:1, 예레미야 애가 3:26, 욥기 21:7, 시편 73:3, 예레미야 12:1
37:8	잠언 14:29, 에베소서 4:26
37:9	시편 55:23, 시편 25:12-13, 시편 37:29, 마태복음 5:5, 베드로 후서 2:9
37:10	욥기 24:24, 사무엘상 25:39, 시편 52:4-5
37:11	이사야 45:18, 마태복음 5:5, 요한 계시록 21:3, 시편 72:7, 시편 119:165, 이사야 48:18
37:12	사무엘상 18:21, 사무엘상 18:25
37:13	사무엘상 26:9-10
37:15	사무엘하 17:23, 에스더 7:10, 시편 7:15
37:16	잠언 16:8, 잠언 30:8-9, 디모데 전서 6:6
37:18	시편 16:11
37:20	잠언 10:7
37:21	신명기 15:11, 욥기 31:16, 욥기 31:22, 시편 112:9, 잠언 19:17
37:22	시편 37:9
37:23	잠언 11:20, 잠언 16:9
37:24	시편 34:19, 잠언 24:16, 시편 91:11-12
37:25	시편 94:14, 마태복음 6:33, 히브리서 13:5, 신명기 24:19, 시편 145:15, 잠언 10:3
37:26	신명기 15:7-8, 시편 112:5
37:27	시편 34:14, 이사야 1:17
37:28	사무엘하 22:26, 시편 97:10, 잠언 2:7-8, 잠언 2:22
37:29	신명기 30:20, 시편 37:9, 잠언 2:21, 마태복음 5:5, 마태복음 25:46, 요한 계시록 21:3-4
37:30	마태복음 12:35, 에베소서 4:29, 골로새서 4:6
