1:1	출애굽기 40:34
21:22	레위기 2:10, 레위기 6:14, 레위기 6:16, 레위기 24:8-9, 민수기 18:9, 레위기 22:10, 민수기 18:19
21:23	출애굽기 30:6, 출애굽기 38:1, 출애굽기 25:8, 출애굽기 28:41
22:2	출애굽기 28:38, 민수기 18:32, 레위기 21:6
22:3	레위기 7:20
22:4	레위기 13:2, 레위기 15:2, 레위기 14:2, 레위기 15:13, 레위기 21:1, 민수기 19:11, 민수기 19:22, 레위기 15:16
22:5	레위기 11:24, 레위기 11:43, 레위기 15:7, 레위기 15:19
22:6	민수기 19:6-7
22:7	민수기 18:11
22:8	출애굽기 22:31, 레위기 17:15, 신명기 14:21
22:10	출애굽기 29:33
22:11	민수기 18:11
22:13	레위기 10:14, 민수기 18:19
22:14	레위기 5:15-16
22:15	민수기 18:32
