1:1	창세기 46:8
21:22	시편 139:16, 예레미야 1:5, 출애굽기 18:25-26, 신명기 16:18, 신명기 17:8
21:23	창세기 9:6, 레위기 24:17, 민수기 35:31, 요한 계시록 21:8
21:24	레위기 24:20, 마태복음 5:38
21:26	에베소서 6:9, 골로새서 4:1
21:28	창세기 9:5, 민수기 35:33
21:34	출애굽기 22:6, 출애굽기 22:14, 신명기 22:8
22:1	사무엘하 12:6, 누가복음 19:8
22:2	출애굽기 20:15
22:7	출애굽기 22:4
22:8	신명기 16:18, 신명기 19:17
22:9	신명기 16:18, 신명기 25:1, 출애굽기 22:4
22:11	레위기 6:2-5
22:16	신명기 22:28-29
22:18	레위기 19:26, 레위기 20:6, 신명기 18:10-12, 사무엘상 28:3, 갈라디아서 5:20, 요한 계시록 22:15
22:19	레위기 18:23, 레위기 20:15, 신명기 27:21
22:20	민수기 25:3, 열왕기상 18:40, 고린도 전서 10:20
22:21	레위기 25:35, 레위기 19:33-34, 신명기 10:19
22:22	신명기 27:19, 야고보서 1:27
22:23	시편 10:18, 야고보서 5:4
22:25	레위기 25:35-36, 신명기 23:19, 누가복음 6:34-35
22:26	신명기 24:6
22:27	신명기 24:13, 신명기 10:18, 시편 34:6
22:28	레위기 24:11, 레위기 24:14, 전도서 10:20, 사도행전 23:5, 유다서 1:8
22:29	잠언 3:9, 고린도 후서 9:7, 출애굽기 13:2
22:30	신명기 15:19, 레위기 22:27
22:31	레위기 19:2, 민수기 15:40, 베드로 전서 1:15, 레위기 22:3, 레위기 22:8
23:1	레위기 19:16, 잠언 6:16, 잠언 6:19, 신명기 19:18-19, 잠언 19:5
23:3	레위기 19:15
23:4	잠언 25:21, 데살로니가 전서 5:15
23:5	신명기 22:4, 누가복음 6:27, 로마서 12:21
23:6	신명기 16:19, 역대기하 19:7
23:7	잠언 17:15, 로마서 1:18, 로마서 2:6
23:8	전도서 7:7
23:9	레위기 19:34
23:10	레위기 25:3-4
23:12	출애굽기 20:9-10, 신명기 5:14
23:13	신명기 4:9, 신명기 12:3, 여호수아 23:6-7
23:14	신명기 16:16
23:15	레위기 23:6, 누가복음 22:7, 출애굽기 12:18, 신명기 16:17
23:16	민수기 28:26, 신명기 16:9-10, 사도행전 2:1, 신명기 16:13, 느헤미야 8:14, 요한복음 7:2
23:17	신명기 12:5-6
23:19	민수기 18:8, 민수기 18:12, 고린도 전서 15:20, 신명기 14:21, 잠언 12:10
23:20	출애굽기 14:19, 민수기 20:16
